user_id,target_mood,rank,clip_id,track_name,artist,score,predicted_mood,predicted_arousal,predicted_valence,valence_prob_negative,valence_prob_neutral,valence_prob_positive
ryan_calib,relaxed,1,clip_019,glow,"Fred again.., Duskus, Joy Anonymous, Four Tet & Skrillex",0.9409047199809095,relaxed,0.28988744165425345,positive,0.027846455207507788,0.010720717054807346,0.9614328277376848
ryan_calib,relaxed,2,clip_131,Suavemente,Elvis Crespo,0.9400583717009126,relaxed,0.34846195920737455,positive,0.0006125655265236419,0.00031550883370558736,0.9990719256397708
ryan_calib,relaxed,3,clip_125,Hips Don't Lie (feat. Wyclef Jean),Shakira,0.939974247926084,relaxed,0.34456243479604737,positive,0.0010766482031004557,0.0025913153893946904,0.9963320364075049
ryan_calib,relaxed,4,clip_200,Killshot,Magdalena Bay,0.9386786998822629,relaxed,0.3515275032456924,positive,0.000679544225950734,0.000504287139816013,0.9988161686342332
ryan_calib,relaxed,5,clip_093,Espresso,Sabrina Carpenter,0.9363078987015997,relaxed,0.3408480145186355,positive,0.00756076293998449,0.004694062878259015,0.9877451741817566
ryan_calib,relaxed,6,clip_138,Just Like Heaven,The Cure,0.9352573987381629,relaxed,0.35451522711087863,positive,0.001341240210425833,0.0035529438187168663,0.9951058159708572
ryan_calib,relaxed,7,clip_121,Vivir Mi Vida,Marc Anthony,0.9351557623776043,relaxed,0.3604482297169034,positive,0.0002715815035111272,0.0008366613892127396,0.9988917571072762
ryan_calib,relaxed,8,clip_090,Call Me Maybe,Carly Rae Jepsen,0.9327017549903114,relaxed,0.3646237733327867,positive,0.0006350682659368578,0.0017794911950196673,0.9975854405390434
ryan_calib,relaxed,9,clip_169,"Cello Suite No. 2 in D Minor, BWV 1008: I. Prelude",Jörg Baumann,0.929058093459606,relaxed,0.3725338191772865,positive,0.001264652901587139,0.0019493118808785231,0.9967860352175344
ryan_calib,relaxed,10,clip_183,Emerald Rush,Jon Hopkins,0.9277441598196233,relaxed,0.36709914266074245,positive,0.0037809996186934773,0.005245972241439443,0.9909730281398671
ryan_calib,relaxed,11,clip_141,Dreams,Fleetwood Mac,0.9253723405719154,relaxed,0.38229953931001404,positive,0.000984284179500698,0.001862121993964434,0.9971535938265349
ryan_calib,relaxed,12,clip_124,Danza Kuduro (feat. Lucenzo),Don Omar,0.9221391618565904,relaxed,0.3631886168669847,positive,0.004722808641229194,0.016252843686463653,0.9790243476723071
ryan_calib,relaxed,13,clip_122,Gasolina,Daddy Yankee,0.9165214860103226,relaxed,0.3954584617250822,positive,0.0020492777900737065,0.0067759377093337585,0.9911747845005925
ryan_calib,relaxed,14,clip_189,So U Kno,Overmono,0.9141523002051493,happy,0.4122679857433008,positive,0.0006063499549941333,0.0009611592075566651,0.9984324908374492
ryan_calib,relaxed,15,clip_135,Ho Hey,The Lumineers,0.9085218616688353,happy,0.42201379210778295,positive,0.001623411732506208,0.002830957414246285,0.9955456308532475
ryan_calib,relaxed,16,clip_224,To My Love,Bomba Estéreo,0.8998151483596787,happy,0.4471560134798606,positive,0.000865722166353156,0.0013383549142753934,0.9977959229193715
ryan_calib,relaxed,17,clip_119,"Bailando (English Version) [feat. Sean Paul, Descemer Bueno & Gente de Zona]",Enrique Iglesias,0.8983161459351767,relaxed,0.3496121845476072,positive,0.0030520361257912135,0.06667959761717591,0.9302683662570328
ryan_calib,relaxed,18,clip_089,Shape of You,Ed Sheeran,0.8938031178975689,relaxed,0.39358982882040894,positive,0.0015194093839208402,0.046415508239858336,0.9520650823762209
ryan_calib,relaxed,19,clip_064,Gold Digger (feat. Jamie Foxx),Kanye West,0.8936236665385942,happy,0.46221792334118234,positive,0.00044592777215943274,0.0020360124360619346,0.9975180597917787
ryan_calib,relaxed,20,clip_061,Doo Wop (That Thing),Lauryn Hill,0.8926124054654954,happy,0.4412963540869743,positive,0.01133039005439192,0.0067846981117996134,0.9818849118338085
ryan_calib,relaxed,21,clip_123,Tití Me Preguntó (Mixed),Bad Bunny,0.8901780041980585,relaxed,0.3958995305914214,positive,0.011899875896684125,0.04053709671227094,0.947563027391045
