user_id,session_id,clip_id,trial_index,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
demo_user,demo_session,clip_003,1,2026-05-24T22:10:52.000,2026-05-24T22:11:22.579,1,3,2,relaxed,3,
demo_user,demo_session,clip_006,2,2026-05-24T22:12:52.000,2026-05-24T22:13:22.693,2,3,4,sad,3,
demo_user,demo_session,clip_001,3,2026-05-24T22:14:52.000,2026-05-24T22:15:22.288,4,3,5,neutral,3,
demo_user,demo_session,clip_010,4,2026-05-24T22:16:52.000,2026-05-24T22:17:22.123,2,2,1,sad,4,
demo_user,demo_session,clip_004,5,2026-05-24T22:18:52.000,2026-05-24T22:19:22.692,3,4,4,happy,1,
demo_user,demo_session,clip_012,6,2026-05-24T22:20:52.000,2026-05-24T22:21:22.081,3,2,2,relaxed,1,
demo_user,demo_session,clip_002,7,2026-05-24T22:22:52.000,2026-05-24T22:23:22.048,3,5,4,excited,3,
demo_user,demo_session,clip_009,8,2026-05-24T22:24:52.000,2026-05-24T22:25:22.213,2,4,4,excited,5,
demo_user,demo_session,clip_011,9,2026-05-24T22:26:52.000,2026-05-24T22:27:22.298,3,5,5,happy,1,
demo_user,demo_session,clip_008,10,2026-05-24T22:28:52.000,2026-05-24T22:29:22.192,4,2,4,relaxed,5,
demo_user,demo_session,clip_007,11,2026-05-24T22:30:52.000,2026-05-24T22:31:22.431,4,3,3,neutral,3,
demo_user,demo_session,clip_005,12,2026-05-24T22:32:52.000,2026-05-24T22:33:22.049,3,2,4,relaxed,2,
