user_id,session_id,clip_id,trial_index,rest_start_time,rest_end_time,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
demo_user_06,demo_session_06,clip_013,1,2026-05-25T15:45:29.000,2026-05-25T15:45:59.289,2026-05-25T15:46:01.289,2026-05-25T15:46:31.558,4,3,3,happy,4,
demo_user_06,demo_session_06,clip_015,2,2026-05-25T15:47:29.000,2026-05-25T15:47:59.279,2026-05-25T15:48:01.279,2026-05-25T15:48:31.656,5,2,4,relaxed,4,
demo_user_06,demo_session_06,clip_005,3,2026-05-25T15:49:29.000,2026-05-25T15:49:59.075,2026-05-25T15:50:01.075,2026-05-25T15:50:31.266,4,2,4,neutral,1,
demo_user_06,demo_session_06,clip_012,4,2026-05-25T15:51:29.000,2026-05-25T15:51:59.256,2026-05-25T15:52:01.256,2026-05-25T15:52:31.321,3,1,2,relaxed,3,
demo_user_06,demo_session_06,clip_018,5,2026-05-25T15:53:29.000,2026-05-25T15:53:59.133,2026-05-25T15:54:01.133,2026-05-25T15:54:31.605,3,2,5,relaxed,2,
demo_user_06,demo_session_06,clip_006,6,2026-05-25T15:55:29.000,2026-05-25T15:55:59.017,2026-05-25T15:56:01.017,2026-05-25T15:56:31.637,2,4,2,annoyed,5,
demo_user_06,demo_session_06,clip_004,7,2026-05-25T15:57:29.000,2026-05-25T15:57:59.012,2026-05-25T15:58:01.012,2026-05-25T15:58:31.198,5,5,5,excited,5,
demo_user_06,demo_session_06,clip_014,8,2026-05-25T15:59:29.000,2026-05-25T15:59:59.177,2026-05-25T16:00:01.177,2026-05-25T16:00:31.486,2,3,3,relaxed,4,
demo_user_06,demo_session_06,clip_010,9,2026-05-25T16:01:29.000,2026-05-25T16:01:59.119,2026-05-25T16:02:01.119,2026-05-25T16:02:31.443,3,3,2,relaxed,5,
demo_user_06,demo_session_06,clip_008,10,2026-05-25T16:03:29.000,2026-05-25T16:03:59.209,2026-05-25T16:04:01.209,2026-05-25T16:04:31.781,4,2,3,relaxed,1,
demo_user_06,demo_session_06,clip_016,11,2026-05-25T16:05:29.000,2026-05-25T16:05:59.092,2026-05-25T16:06:01.092,2026-05-25T16:06:31.484,1,1,4,relaxed,3,
demo_user_06,demo_session_06,clip_002,12,2026-05-25T16:07:29.000,2026-05-25T16:07:59.294,2026-05-25T16:08:01.294,2026-05-25T16:08:31.731,2,5,4,excited,5,
demo_user_06,demo_session_06,clip_003,13,2026-05-25T16:09:29.000,2026-05-25T16:09:59.141,2026-05-25T16:10:01.141,2026-05-25T16:10:31.778,1,2,1,sad,1,
demo_user_06,demo_session_06,clip_007,14,2026-05-25T16:11:29.000,2026-05-25T16:11:59.151,2026-05-25T16:12:01.151,2026-05-25T16:12:31.592,2,3,5,neutral,3,
demo_user_06,demo_session_06,clip_011,15,2026-05-25T16:13:29.000,2026-05-25T16:13:59.120,2026-05-25T16:14:01.120,2026-05-25T16:14:31.578,3,5,5,happy,2,
demo_user_06,demo_session_06,clip_001,16,2026-05-25T16:15:29.000,2026-05-25T16:15:59.145,2026-05-25T16:16:01.145,2026-05-25T16:16:31.490,3,3,5,happy,1,
demo_user_06,demo_session_06,clip_009,17,2026-05-25T16:17:29.000,2026-05-25T16:17:59.227,2026-05-25T16:18:01.227,2026-05-25T16:18:31.565,3,5,4,happy,4,
demo_user_06,demo_session_06,clip_017,18,2026-05-25T16:19:29.000,2026-05-25T16:19:59.077,2026-05-25T16:20:01.077,2026-05-25T16:20:31.776,4,2,3,relaxed,1,
