user_id,session_id,clip_id,trial_index,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
demo_user_05,demo_session_05,clip_001,1,2026-05-24T22:10:52.000,2026-05-24T22:11:22.296,2,2,5,relaxed,1,
demo_user_05,demo_session_05,clip_006,2,2026-05-24T22:12:52.000,2026-05-24T22:13:22.276,2,4,2,annoyed,5,
demo_user_05,demo_session_05,clip_008,3,2026-05-24T22:14:52.000,2026-05-24T22:15:22.544,3,1,5,neutral,5,
demo_user_05,demo_session_05,clip_007,4,2026-05-24T22:16:52.000,2026-05-24T22:17:22.155,3,2,4,happy,1,
demo_user_05,demo_session_05,clip_004,5,2026-05-24T22:18:52.000,2026-05-24T22:19:22.104,4,5,5,happy,1,
demo_user_05,demo_session_05,clip_003,6,2026-05-24T22:20:52.000,2026-05-24T22:21:22.624,3,2,4,sad,5,
demo_user_05,demo_session_05,clip_009,7,2026-05-24T22:22:52.000,2026-05-24T22:23:22.471,4,5,5,excited,4,
demo_user_05,demo_session_05,clip_002,8,2026-05-24T22:24:52.000,2026-05-24T22:25:22.226,2,5,5,excited,1,
demo_user_05,demo_session_05,clip_005,9,2026-05-24T22:26:52.000,2026-05-24T22:27:22.450,4,1,5,neutral,3,
demo_user_05,demo_session_05,clip_011,10,2026-05-24T22:28:52.000,2026-05-24T22:29:22.092,5,4,3,happy,1,
demo_user_05,demo_session_05,clip_010,11,2026-05-24T22:30:52.000,2026-05-24T22:31:22.296,4,2,2,relaxed,1,
demo_user_05,demo_session_05,clip_012,12,2026-05-24T22:32:52.000,2026-05-24T22:33:22.269,1,1,2,sad,5,
