user_id,session_id,clip_id,trial_index,rest_start_time,rest_end_time,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
pau,self_20260601_210739,clip_200,1,2026-06-01T21:07:42.086,2026-06-01T21:08:02.090,2026-06-01T21:08:04.210,2026-06-01T21:08:34.220,,,3,positive,1,
pau,self_20260601_210739,clip_199,2,2026-06-01T21:08:40.915,2026-06-01T21:09:01.006,2026-06-01T21:09:03.136,2026-06-01T21:09:33.140,,,3,positive,1,
pau,self_20260601_210739,clip_198,3,2026-06-01T21:09:39.332,2026-06-01T21:09:59.337,2026-06-01T21:10:01.466,2026-06-01T21:10:31.485,,,3,positive,1,
pau,self_20260601_210739,clip_197,4,2026-06-01T21:10:39.037,2026-06-01T21:10:59.125,2026-06-01T21:11:01.248,2026-06-01T21:11:31.256,,,2,neutral,1,
pau,self_20260601_210739,clip_196,5,2026-06-01T21:11:37.299,2026-06-01T21:11:57.315,2026-06-01T21:11:59.449,2026-06-01T21:12:29.451,,,2,neutral,4,
pau,self_20260601_210739,clip_195,6,2026-06-01T21:12:38.226,2026-06-01T21:12:58.282,2026-06-01T21:13:00.403,2026-06-01T21:13:30.413,,,3,positive,1,
pau,self_20260601_210739,clip_194,7,2026-06-01T21:13:37.278,2026-06-01T21:13:57.291,2026-06-01T21:13:59.427,2026-06-01T21:14:29.431,,,3,positive,1,
pau,self_20260601_210739,clip_193,8,2026-06-01T21:14:35.834,2026-06-01T21:14:55.971,2026-06-01T21:14:58.094,2026-06-01T21:15:28.166,,,2,neutral,1,
pau,self_20260601_210739,clip_192,9,2026-06-01T21:15:34.645,2026-06-01T21:15:54.654,2026-06-01T21:15:56.784,2026-06-01T21:16:26.815,,,2,neutral,1,
pau,self_20260601_210739,clip_191,10,2026-06-01T21:16:33.854,2026-06-01T21:16:53.958,2026-06-01T21:16:56.075,2026-06-01T21:17:26.092,,,2,neutral,1,
pau,self_20260601_210739,clip_190,11,2026-06-01T21:17:32.295,2026-06-01T21:17:52.304,2026-06-01T21:17:54.434,2026-06-01T21:18:24.479,,,2,neutral,1,
pau,self_20260601_210739,clip_189,12,2026-06-01T21:18:31.670,2026-06-01T21:18:51.684,2026-06-01T21:18:53.806,2026-06-01T21:19:23.808,,,3,positive,1,
pau,self_20260601_210739,clip_188,13,2026-06-01T21:19:30.804,2026-06-01T21:19:50.809,2026-06-01T21:19:52.933,2026-06-01T21:20:22.935,,,3,positive,2,
pau,self_20260601_210739,clip_187,14,2026-06-01T21:20:29.193,2026-06-01T21:20:49.266,2026-06-01T21:20:51.385,2026-06-01T21:21:21.386,,,2,neutral,1,
pau,self_20260601_210739,clip_186,15,2026-06-01T21:21:27.956,2026-06-01T21:21:47.959,2026-06-01T21:21:50.095,2026-06-01T21:22:20.104,,,3,positive,1,
pau,self_20260601_210739,clip_185,16,2026-06-01T21:22:26.269,2026-06-01T21:22:46.289,2026-06-01T21:22:48.425,2026-06-01T21:23:18.449,,,3,positive,1,
pau,self_20260601_210739,clip_184,17,2026-06-01T21:23:23.651,2026-06-01T21:23:43.653,2026-06-01T21:23:45.776,2026-06-01T21:24:15.820,,,3,positive,4,
pau,self_20260601_210739,clip_183,18,2026-06-01T21:24:23.327,2026-06-01T21:24:43.447,2026-06-01T21:24:45.570,2026-06-01T21:25:15.582,,,3,positive,1,
