user_id,session_id,clip_id,trial_index,clip_start_time,clip_end_time,preference,arousal,valence,mood,familiarity,notes
demo_user_04,demo_session_04,clip_006,1,2026-05-24T22:10:52.000,2026-05-24T22:11:22.596,3,4,2,annoyed,3,
demo_user_04,demo_session_04,clip_008,2,2026-05-24T22:12:52.000,2026-05-24T22:13:22.437,3,3,5,relaxed,5,
demo_user_04,demo_session_04,clip_005,3,2026-05-24T22:14:52.000,2026-05-24T22:15:22.341,3,3,4,relaxed,4,
demo_user_04,demo_session_04,clip_010,4,2026-05-24T22:16:52.000,2026-05-24T22:17:22.040,1,3,1,sad,1,
demo_user_04,demo_session_04,clip_012,5,2026-05-24T22:18:52.000,2026-05-24T22:19:22.650,4,1,3,relaxed,3,
demo_user_04,demo_session_04,clip_011,6,2026-05-24T22:20:52.000,2026-05-24T22:21:22.430,3,5,4,happy,2,
demo_user_04,demo_session_04,clip_002,7,2026-05-24T22:22:52.000,2026-05-24T22:23:22.453,2,5,4,excited,1,
demo_user_04,demo_session_04,clip_004,8,2026-05-24T22:24:52.000,2026-05-24T22:25:22.039,3,5,4,excited,1,
demo_user_04,demo_session_04,clip_009,9,2026-05-24T22:26:52.000,2026-05-24T22:27:22.193,4,5,4,happy,5,
demo_user_04,demo_session_04,clip_001,10,2026-05-24T22:28:52.000,2026-05-24T22:29:22.637,3,2,3,happy,1,
demo_user_04,demo_session_04,clip_003,11,2026-05-24T22:30:52.000,2026-05-24T22:31:22.159,3,3,2,relaxed,2,
demo_user_04,demo_session_04,clip_007,12,2026-05-24T22:32:52.000,2026-05-24T22:33:22.487,3,4,4,neutral,3,
