timestamp,user_id,session_id,clip_id,trial_index,phase,hr,eda,source,raw_line
2026-05-26T15:57:45.367,jtest2,self_20260526_134855,clip_005,4,rest,72.024,1.2501,mock,
2026-05-26T15:57:45.593,jtest2,self_20260526_134855,clip_005,4,rest,72.227,1.2671,mock,
2026-05-26T15:57:45.807,jtest2,self_20260526_134855,clip_005,4,rest,72.386,1.2377,mock,
2026-05-26T15:57:46.028,jtest2,self_20260526_134855,clip_005,4,rest,72.883,1.26,mock,
2026-05-26T15:57:46.249,jtest2,self_20260526_134855,clip_005,4,rest,72.672,1.2695,mock,
2026-05-26T15:57:46.469,jtest2,self_20260526_134855,clip_005,4,rest,73.158,1.2889,mock,
2026-05-26T15:57:46.691,jtest2,self_20260526_134855,clip_005,4,rest,73.626,1.2768,mock,
2026-05-26T15:57:46.915,jtest2,self_20260526_134855,clip_005,4,rest,72.82,1.2637,mock,
2026-05-26T15:57:47.139,jtest2,self_20260526_134855,clip_005,4,rest,73.676,1.3023,mock,
2026-05-26T15:57:47.362,jtest2,self_20260526_134855,clip_005,4,rest,73.697,1.2847,mock,
2026-05-26T15:57:47.581,jtest2,self_20260526_134855,clip_005,4,rest,74.198,1.2681,mock,
2026-05-26T15:57:47.803,jtest2,self_20260526_134855,clip_005,4,rest,73.763,1.3008,mock,
2026-05-26T15:57:48.025,jtest2,self_20260526_134855,clip_005,4,rest,74.746,1.2933,mock,
2026-05-26T15:57:48.248,jtest2,self_20260526_134855,clip_005,4,rest,74.546,1.3042,mock,
2026-05-26T15:57:48.472,jtest2,self_20260526_134855,clip_005,4,rest,74.975,1.2872,mock,
2026-05-26T15:57:48.691,jtest2,self_20260526_134855,clip_005,4,rest,74.962,1.2845,mock,
2026-05-26T15:57:48.912,jtest2,self_20260526_134855,clip_005,4,rest,72.864,1.3014,mock,
2026-05-26T15:57:49.137,jtest2,self_20260526_134855,clip_005,4,rest,74.187,1.327,mock,
2026-05-26T15:57:49.357,jtest2,self_20260526_134855,clip_005,4,rest,75.414,1.2987,mock,
2026-05-26T15:57:49.580,jtest2,self_20260526_134855,clip_005,4,rest,75.66,1.3051,mock,
2026-05-26T15:57:49.802,jtest2,self_20260526_134855,clip_005,4,rest,75.118,1.3188,mock,
2026-05-26T15:57:50.027,jtest2,self_20260526_134855,clip_005,4,rest,75.364,1.3385,mock,
2026-05-26T15:57:50.249,jtest2,self_20260526_134855,clip_005,4,rest,75.829,1.3344,mock,
2026-05-26T15:57:50.474,jtest2,self_20260526_134855,clip_005,4,rest,75.93,1.3391,mock,
2026-05-26T15:57:50.697,jtest2,self_20260526_134855,clip_005,4,rest,75.121,1.324,mock,
2026-05-26T15:57:50.918,jtest2,self_20260526_134855,clip_005,4,rest,75.308,1.3448,mock,
2026-05-26T15:57:51.138,jtest2,self_20260526_134855,clip_005,4,rest,75.531,1.3749,mock,
2026-05-26T15:57:51.360,jtest2,self_20260526_134855,clip_005,4,rest,75.196,1.3259,mock,
2026-05-26T15:57:51.584,jtest2,self_20260526_134855,clip_005,4,rest,76.364,1.3661,mock,
2026-05-26T15:57:51.811,jtest2,self_20260526_134855,clip_005,4,rest,76.229,1.3596,mock,
2026-05-26T15:57:52.036,jtest2,self_20260526_134855,clip_005,4,rest,76.914,1.3479,mock,
2026-05-26T15:57:52.261,jtest2,self_20260526_134855,clip_005,4,rest,74.952,1.3435,mock,
2026-05-26T15:57:52.483,jtest2,self_20260526_134855,clip_005,4,rest,76.64,1.3318,mock,
2026-05-26T15:57:52.703,jtest2,self_20260526_134855,clip_005,4,rest,76.013,1.3591,mock,
2026-05-26T15:57:52.926,jtest2,self_20260526_134855,clip_005,4,rest,75.778,1.3679,mock,
2026-05-26T15:57:53.152,jtest2,self_20260526_134855,clip_005,4,rest,76.406,1.3936,mock,
2026-05-26T15:57:53.374,jtest2,self_20260526_134855,clip_005,4,rest,76.426,1.3512,mock,
2026-05-26T15:57:53.598,jtest2,self_20260526_134855,clip_005,4,rest,75.584,1.3493,mock,
2026-05-26T15:57:53.823,jtest2,self_20260526_134855,clip_005,4,rest,76.621,1.3546,mock,
2026-05-26T15:57:54.075,jtest2,self_20260526_134855,clip_005,4,rest,75.87,1.3757,mock,
2026-05-26T15:57:54.296,jtest2,self_20260526_134855,clip_005,4,rest,75.373,1.3611,mock,
2026-05-26T15:57:54.520,jtest2,self_20260526_134855,clip_005,4,rest,74.543,1.3503,mock,
2026-05-26T15:57:54.746,jtest2,self_20260526_134855,clip_005,4,rest,75.379,1.3736,mock,
2026-05-26T15:57:54.972,jtest2,self_20260526_134855,clip_005,4,rest,76.548,1.3679,mock,
2026-05-26T15:57:55.199,jtest2,self_20260526_134855,clip_005,4,rest,75.824,1.3713,mock,
2026-05-26T15:57:55.424,jtest2,self_20260526_134855,clip_005,4,rest,76.322,1.3827,mock,
2026-05-26T15:57:55.647,jtest2,self_20260526_134855,clip_005,4,rest,75.67,1.3545,mock,
2026-05-26T15:57:55.873,jtest2,self_20260526_134855,clip_005,4,rest,76.018,1.3756,mock,
2026-05-26T15:57:56.100,jtest2,self_20260526_134855,clip_005,4,rest,76.145,1.3695,mock,
2026-05-26T15:57:56.325,jtest2,self_20260526_134855,clip_005,4,rest,76.547,1.3646,mock,
2026-05-26T15:57:56.552,jtest2,self_20260526_134855,clip_005,4,rest,76.182,1.3716,mock,
2026-05-26T15:57:56.775,jtest2,self_20260526_134855,clip_005,4,rest,74.588,1.3527,mock,
2026-05-26T15:57:56.997,jtest2,self_20260526_134855,clip_005,4,rest,74.72,1.3906,mock,
2026-05-26T15:57:57.226,jtest2,self_20260526_134855,clip_005,4,rest,75.264,1.3791,mock,
2026-05-26T15:57:57.465,jtest2,self_20260526_134855,clip_005,4,rest,72.886,1.3787,mock,
2026-05-26T15:57:57.690,jtest2,self_20260526_134855,clip_005,4,rest,74.796,1.3591,mock,
2026-05-26T15:57:57.916,jtest2,self_20260526_134855,clip_005,4,rest,73.822,1.3664,mock,
2026-05-26T15:57:58.141,jtest2,self_20260526_134855,clip_005,4,rest,75.317,1.3496,mock,
2026-05-26T15:57:58.368,jtest2,self_20260526_134855,clip_005,4,rest,73.654,1.3848,mock,
2026-05-26T15:57:58.594,jtest2,self_20260526_134855,clip_005,4,rest,73.481,1.3576,mock,
2026-05-26T15:57:58.822,jtest2,self_20260526_134855,clip_005,4,rest,73.698,1.3431,mock,
2026-05-26T15:57:59.047,jtest2,self_20260526_134855,clip_005,4,rest,73.617,1.3421,mock,
2026-05-26T15:57:59.269,jtest2,self_20260526_134855,clip_005,4,rest,73.916,1.3587,mock,
2026-05-26T15:57:59.493,jtest2,self_20260526_134855,clip_005,4,rest,74.724,1.3612,mock,
2026-05-26T15:57:59.713,jtest2,self_20260526_134855,clip_005,4,rest,73.912,1.3357,mock,
2026-05-26T15:57:59.935,jtest2,self_20260526_134855,clip_005,4,rest,72.697,1.3582,mock,
2026-05-26T15:58:00.155,jtest2,self_20260526_134855,clip_005,4,rest,73.831,1.3262,mock,
2026-05-26T15:58:00.376,jtest2,self_20260526_134855,clip_005,4,rest,73.127,1.3582,mock,
2026-05-26T15:58:00.596,jtest2,self_20260526_134855,clip_005,4,rest,73.332,1.3579,mock,
2026-05-26T15:58:00.815,jtest2,self_20260526_134855,clip_005,4,rest,72.12,1.3371,mock,
2026-05-26T15:58:01.036,jtest2,self_20260526_134855,clip_005,4,rest,71.033,1.3455,mock,
2026-05-26T15:58:01.266,jtest2,self_20260526_134855,clip_005,4,rest,71.589,1.3703,mock,
2026-05-26T15:58:01.487,jtest2,self_20260526_134855,clip_005,4,rest,71.119,1.3423,mock,
2026-05-26T15:58:01.708,jtest2,self_20260526_134855,clip_005,4,rest,70.273,1.3289,mock,
2026-05-26T15:58:01.925,jtest2,self_20260526_134855,clip_005,4,rest,71.384,1.3445,mock,
2026-05-26T15:58:02.142,jtest2,self_20260526_134855,clip_005,4,rest,72.045,1.3287,mock,
2026-05-26T15:58:02.361,jtest2,self_20260526_134855,clip_005,4,rest,70.08,1.3334,mock,
2026-05-26T15:58:02.579,jtest2,self_20260526_134855,clip_005,4,rest,71.058,1.331,mock,
2026-05-26T15:58:02.800,jtest2,self_20260526_134855,clip_005,4,rest,70.041,1.3376,mock,
2026-05-26T15:58:03.023,jtest2,self_20260526_134855,clip_005,4,rest,70.428,1.328,mock,
2026-05-26T15:58:03.248,jtest2,self_20260526_134855,clip_005,4,rest,71.096,1.3234,mock,
2026-05-26T15:58:03.470,jtest2,self_20260526_134855,clip_005,4,rest,70.247,1.3433,mock,
2026-05-26T15:58:03.690,jtest2,self_20260526_134855,clip_005,4,rest,70.066,1.3033,mock,
2026-05-26T15:58:03.913,jtest2,self_20260526_134855,clip_005,4,rest,69.824,1.3266,mock,
2026-05-26T15:58:04.134,jtest2,self_20260526_134855,clip_005,4,rest,69.685,1.3087,mock,
2026-05-26T15:58:04.357,jtest2,self_20260526_134855,clip_005,4,rest,70.298,1.2898,mock,
2026-05-26T15:58:04.579,jtest2,self_20260526_134855,clip_005,4,rest,68.118,1.2984,mock,
2026-05-26T15:58:04.800,jtest2,self_20260526_134855,clip_005,4,rest,69.359,1.2813,mock,
2026-05-26T15:58:05.021,jtest2,self_20260526_134855,clip_005,4,rest,69.684,1.2959,mock,
2026-05-26T15:58:05.240,jtest2,self_20260526_134855,clip_005,4,rest,68.261,1.291,mock,
2026-05-26T15:58:05.463,jtest2,self_20260526_134855,clip_005,4,rest,68.708,1.2573,mock,
2026-05-26T15:58:05.683,jtest2,self_20260526_134855,clip_005,4,rest,69.057,1.2752,mock,
2026-05-26T15:58:05.900,jtest2,self_20260526_134855,clip_005,4,rest,68.121,1.28,mock,
2026-05-26T15:58:06.122,jtest2,self_20260526_134855,clip_005,4,rest,68.891,1.2598,mock,
2026-05-26T15:58:06.344,jtest2,self_20260526_134855,clip_005,4,rest,68.743,1.2799,mock,
2026-05-26T15:58:06.566,jtest2,self_20260526_134855,clip_005,4,rest,67.885,1.2666,mock,
2026-05-26T15:58:06.788,jtest2,self_20260526_134855,clip_005,4,rest,68.313,1.2911,mock,
2026-05-26T15:58:07.008,jtest2,self_20260526_134855,clip_005,4,rest,66.943,1.2638,mock,
2026-05-26T15:58:07.226,jtest2,self_20260526_134855,clip_005,4,rest,67.976,1.2481,mock,
2026-05-26T15:58:07.450,jtest2,self_20260526_134855,clip_005,4,rest,69.47,1.2456,mock,
2026-05-26T15:58:07.674,jtest2,self_20260526_134855,clip_005,4,rest,69.665,1.2353,mock,
2026-05-26T15:58:07.897,jtest2,self_20260526_134855,clip_005,4,rest,68.307,1.2307,mock,
2026-05-26T15:58:08.116,jtest2,self_20260526_134855,clip_005,4,rest,67.551,1.2353,mock,
2026-05-26T15:58:08.341,jtest2,self_20260526_134855,clip_005,4,rest,67.817,1.2336,mock,
2026-05-26T15:58:08.565,jtest2,self_20260526_134855,clip_005,4,rest,66.53,1.2568,mock,
2026-05-26T15:58:08.787,jtest2,self_20260526_134855,clip_005,4,rest,67.883,1.2492,mock,
2026-05-26T15:58:09.006,jtest2,self_20260526_134855,clip_005,4,rest,67.299,1.2238,mock,
2026-05-26T15:58:09.228,jtest2,self_20260526_134855,clip_005,4,rest,70.232,1.2027,mock,
2026-05-26T15:58:09.447,jtest2,self_20260526_134855,clip_005,4,rest,66.989,1.204,mock,
2026-05-26T15:58:09.698,jtest2,self_20260526_134855,clip_005,4,rest,68.399,1.2185,mock,
2026-05-26T15:58:09.916,jtest2,self_20260526_134855,clip_005,4,rest,69.007,1.2008,mock,
2026-05-26T15:58:10.136,jtest2,self_20260526_134855,clip_005,4,rest,67.026,1.1946,mock,
2026-05-26T15:58:10.356,jtest2,self_20260526_134855,clip_005,4,rest,69.067,1.2047,mock,
2026-05-26T15:58:10.578,jtest2,self_20260526_134855,clip_005,4,rest,66.888,1.1938,mock,
2026-05-26T15:58:10.802,jtest2,self_20260526_134855,clip_005,4,rest,69.304,1.2229,mock,
2026-05-26T15:58:11.024,jtest2,self_20260526_134855,clip_005,4,rest,68.792,1.1923,mock,
2026-05-26T15:58:11.247,jtest2,self_20260526_134855,clip_005,4,rest,67.611,1.1718,mock,
2026-05-26T15:58:11.466,jtest2,self_20260526_134855,clip_005,4,rest,68.599,1.1889,mock,
2026-05-26T15:58:11.683,jtest2,self_20260526_134855,clip_005,4,rest,69.065,1.1712,mock,
2026-05-26T15:58:11.905,jtest2,self_20260526_134855,clip_005,4,rest,67.953,1.1637,mock,
2026-05-26T15:58:12.127,jtest2,self_20260526_134855,clip_005,4,rest,68.057,1.182,mock,
2026-05-26T15:58:12.349,jtest2,self_20260526_134855,clip_005,4,rest,67.362,1.1645,mock,
2026-05-26T15:58:12.569,jtest2,self_20260526_134855,clip_005,4,rest,69.413,1.1896,mock,
2026-05-26T15:58:12.790,jtest2,self_20260526_134855,clip_005,4,rest,69.273,1.1791,mock,
2026-05-26T15:58:13.008,jtest2,self_20260526_134855,clip_005,4,rest,69.072,1.1503,mock,
2026-05-26T15:58:13.240,jtest2,self_20260526_134855,clip_005,4,rest,69.021,1.1818,mock,
2026-05-26T15:58:13.458,jtest2,self_20260526_134855,clip_005,4,rest,70.327,1.1638,mock,
2026-05-26T15:58:13.680,jtest2,self_20260526_134855,clip_005,4,rest,72.107,1.1537,mock,
2026-05-26T15:58:13.903,jtest2,self_20260526_134855,clip_005,4,rest,70.361,1.1565,mock,
2026-05-26T15:58:14.125,jtest2,self_20260526_134855,clip_005,4,rest,69.925,1.1845,mock,
2026-05-26T15:58:14.346,jtest2,self_20260526_134855,clip_005,4,rest,71.292,1.1267,mock,
2026-05-26T15:58:14.572,jtest2,self_20260526_134855,clip_005,4,rest,70.122,1.1522,mock,
2026-05-26T15:58:14.795,jtest2,self_20260526_134855,clip_005,4,rest,71.115,1.1237,mock,
2026-05-26T15:58:15.016,jtest2,self_20260526_134855,clip_005,4,rest,69.155,1.1136,mock,
2026-05-26T15:58:15.239,jtest2,self_20260526_134855,clip_005,4,rest,70.854,1.139,mock,
2026-05-26T15:58:40.962,jtest2,self_20260526_134855,clip_005,4,listen,72.023,1.2501,mock,
2026-05-26T15:58:41.191,jtest2,self_20260526_134855,clip_005,4,listen,72.229,1.2671,mock,
2026-05-26T15:58:41.408,jtest2,self_20260526_134855,clip_005,4,listen,72.39,1.2378,mock,
2026-05-26T15:58:41.629,jtest2,self_20260526_134855,clip_005,4,listen,72.887,1.26,mock,
2026-05-26T15:58:41.850,jtest2,self_20260526_134855,clip_005,4,listen,72.676,1.2695,mock,
2026-05-26T15:58:42.067,jtest2,self_20260526_134855,clip_005,4,listen,73.159,1.2889,mock,
2026-05-26T15:58:42.287,jtest2,self_20260526_134855,clip_005,4,listen,73.626,1.2768,mock,
2026-05-26T15:58:42.509,jtest2,self_20260526_134855,clip_005,4,listen,72.818,1.2637,mock,
