clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_080,Shake It Off,Taylor Swift,1989 (Deluxe Edition),Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/11/d5/6d/11d56d4a-ce23-e793-8681-70dc4d35d931/mzaf_5886436202259848624.plus.aac.p.m4a,1440933651,high,positive,happy,Shake It Off,Taylor Swift,best_score,102.0
clip_079,Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/87/6b/29/876b29ee-586e-c375-8afa-4fec8f395c96/mzaf_10966959714852930749.plus.aac.p.m4a,1713469232,high,positive,excited,Sweet Nothing,Calvin Harris,best_score,77.0
clip_078,Turn Down for What,DJ Snake & Lil Jon,Turn Down for What - Single,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/45/7e/71/457e7160-a799-20b6-a5a6-71bf292ae5b1/mzaf_2090080094698921593.plus.aac.p.m4a,786489670,high,positive,excited,Turn Down for What,DJ Snake,best_score,90.0
clip_077,Opus,Eric Prydz,Opus,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/74/9a/33/749a3309-b63a-8221-e656-ef08bea46ad2/mzaf_10014625587695388750.plus.aac.p.m4a,1440851025,high,positive,excited,Opus,Eric Prydz,best_score,102.0
clip_076,Don't You Worry Child (feat. John Martin),Swedish House Mafia,"Aftercluv Dancelab the Drop, Vol. 1",Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/df/b7/ba/dfb7bac3-cdad-da5c-1de5-54767c4c959e/mzaf_16325181629715680732.plus.aac.p.m4a,1444020877,high,positive,excited,Don't You Worry Child,Swedish House Mafia,best_score,77.0
clip_075,Scary Monsters and Nice Sprites,Skrillex,Scary Monsters and Nice Sprites,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/6a/f5/f2/6af5f2fd-4fe3-6981-8b01-3bb3a7417027/mzaf_2676481089062971648.plus.aac.p.m4a,409001935,high,negative,tense,Scary Monsters and Nice Sprites,Skrillex,best_score,102.0
clip_074,Midnight City,M83,"Hurry Up, We're Dreaming",Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/71/5c/80/715c80fc-ebe4-e713-487c-5bdefee6c6f3/mzaf_3698387428135478316.plus.aac.p.m4a,828259377,high,positive,excited,Midnight City,M83,best_score,102.0
clip_073,Innerbloom,RÜFÜS DU SOL,Bloom,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/19/0e/3c/190e3c87-1af7-d701-965b-057e799c862c/mzaf_9944475216234105941.plus.aac.p.m4a,1058740894,low,positive,relaxed,Innerbloom,RUFUS DU SOL,best_score,82.0
clip_072,Clarity (feat. Foxes),Zedd,Clarity,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3d/19/9d/3d199db0-f98a-65c9-f5b6-b04e845d50b6/mzaf_16026405419014533897.plus.aac.p.m4a,1440861976,high,positive,excited,Clarity,Zedd,best_score,77.0
clip_071,Language,Porter Robinson,Language - Single,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8b/a1/ac/8ba1ac8e-aa48-497f-0728-2afdc10f9b22/mzaf_9601556214281911515.plus.aac.p.m4a,1509360029,high,positive,excited,Language,Porter Robinson,best_score,102.0
clip_070,Sandstorm,Darude,"Before the Storm, Special Edition",Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b2/c3/b6/b2c3b692-4c6e-96b4-0b80-a9f2fceee842/mzaf_15150202186372680773.plus.aac.p.m4a,338349243,high,positive,excited,Sandstorm,Darude,best_score,102.0
clip_069,One More Time,Daft Punk,Discovery,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/98/96/f6/9896f638-8b47-3f76-c47e-19e43b53677c/mzaf_15900001332254520801.plus.aac.p.m4a,697195462,high,positive,excited,One More Time,Daft Punk,best_score,102.0
clip_068,Levels,Avicii,Levels - EP,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/66/dc/bd/66dcbd68-b557-bdfd-f2c2-a05491758783/mzaf_13654489760720011690.plus.aac.p.m4a,1440787349,high,positive,excited,Levels,Avicii,best_score,102.0
clip_067,Titanium (feat. Sia),David Guetta,Nothing But the Beat,Dance,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/45/dd/8f/45dd8ffc-0164-1f70-c53d-bf91a1d80b1a/mzaf_3092057092144618662.plus.aac.p.m4a,693226464,high,positive,excited,Titanium,David Guetta,best_score,77.0
clip_066,Strobe,deadmau5,For Lack of A Better Name (The Extended Mixes),Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/11/92/1b/11921b51-1ed8-ecf1-cb92-41c7af1e2942/mzaf_7176793560074956543.plus.aac.p.m4a,1813489559,medium,positive,relaxed,Strobe,deadmau5,best_score,102.0
clip_065,DNA.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/6a/96/73/6a967366-31ba-a41d-c199-bc41b7492313/mzaf_9393549031103413709.plus.aac.p.m4a,1440881990,high,negative,tense,DNA.,Kendrick Lamar,best_score,100.0
clip_064,Gold Digger (feat. Jamie Foxx),Kanye West,Late Registration,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3e/3d/10/3e3d10bb-41c8-cf98-e7de-126cf72b186a/mzaf_14398557118566661017.plus.aac.p.m4a,1440763833,high,positive,excited,Gold Digger,Kanye West,best_score,75.0
clip_063,California Love (feat. Roger Troutman & Dr. Dre),2Pac,Greatest Hits,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/1a/f4/cc/1af4cc71-d95a-556a-be44-03e09380697f/mzaf_7789998250395440851.plus.aac.p.m4a,1440662041,high,positive,excited,California Love,2Pac,best_score,75.0
