clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_160,In a Sentimental Mood,Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ec/10/a3/ec10a360-882f-f524-cd99-c9b47242c511/mzaf_9079424449416004.plus.aac.p.m4a,1440810227,low,positive,relaxed,In a Sentimental Mood,Duke Ellington & John Coltrane,best_score,102.0
clip_159,Footprints,Wayne Shorter,Adam's Apple,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/68/ab/c3/68abc3ff-65af-2785-e173-bb66b465eef3/mzaf_8044807894290668594.plus.aac.p.m4a,1443300509,medium,negative,tense,Footprints,Wayne Shorter,best_score,102.0
clip_158,Moanin',Charles Mingus,Blues & Roots (Bonus Track Version),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/e9/0e/b0/e90eb00a-d9a0-8e40-7a06-84c610fd9aa2/mzaf_5055124392757281959.plus.aac.p.m4a,213005327,medium,negative,tense,Moanin',Charles Mingus,best_score,102.0
clip_157,Dolphin Dance,Herbie Hancock,Dedication,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/50/f2/fc/50f2fc4f-d356-b734-6169-25a0ea45391c/mzaf_12927973613987552467.plus.aac.p.m4a,290306685,medium,positive,relaxed,Dolphin Dance,Herbie Hancock,best_score,102.0
clip_156,Stolen Moments,Oliver Nelson,The Blues And The Abstract Truth,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a4/54/2d/a4542d91-50e8-2309-bc99-c01ceb96b7ba/mzaf_7194613831193405435.plus.aac.p.m4a,1571406413,medium,negative,tense,Stolen Moments,Oliver Nelson,best_score,102.0
clip_155,Hat and Beard,Eric Dolphy,Out to Lunch!,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/dc/5f/75/dc5f753a-ce24-f7a1-a045-758b33f3d046/mzaf_15174663253580294155.plus.aac.p.m4a,1455686802,medium,negative,tense,Hat and Beard,Eric Dolphy,best_score,102.0
clip_154,Peace Piece,Bill Evans,Everybody Digs Bill Evans (Keepnews Collection),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c7/c0/fd/c7c0fdba-8dfb-73aa-d8b7-9ff2bdea9254/mzaf_4834298594644162342.plus.aac.p.m4a,1440926603,low,positive,relaxed,Peace Piece,Bill Evans,best_score,102.0
clip_153,Infant Eyes,Wayne Shorter,Speak No Evil (Rudy Van Gelder Edition),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/64/bb/fa/64bbfadc-90de-290a-2cd3-7f2a2d0c00b4/mzaf_10520090854835555917.plus.aac.p.m4a,723473860,low,negative,sad,Infant Eyes,Wayne Shorter,best_score,102.0
clip_152,Idle Moments,Grant Green,Idle Moments,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7a/92/b4/7a92b4bd-0da1-0128-6a91-04e993e8c300/mzaf_16974025478810872117.plus.aac.p.m4a,1443768988,low,positive,relaxed,Idle Moments,Grant Green,best_score,102.0
clip_151,Search for Peace,McCoy Tyner,The Real McCoy,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/35/af/1c/35af1c23-8777-abb2-9645-9af7529075af/mzaf_17697857131342273195.plus.aac.p.m4a,721274775,low,positive,relaxed,Search for Peace,McCoy Tyner,best_score,102.0
clip_150,The Chain,Fleetwood Mac,Rumours (Super Deluxe Edition),Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f8/ca/ce/f8cacea5-06c3-8a2c-23a3-a8fa5d8bad06/mzaf_10731390801637708238.plus.aac.p.m4a,651880159,medium,negative,tense,The Chain,Fleetwood Mac,best_score,102.0
clip_149,Hallelujah,Jeff Buckley,Grace,Holiday,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/3d/f9/7f/3df97f47-c0a4-bdf8-53fa-19e99fa891f1/mzaf_16433687184189443153.plus.aac.p.m4a,1046187586,low,negative,sad,Hallelujah,Jeff Buckley,best_score,102.0
clip_148,Teardrop,Massive Attack,Mezzanine,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f0/31/78/f0317854-f180-d1cd-a974-8acc48834b7b/mzaf_8992917226755403839.plus.aac.p.m4a,724466700,low,negative,tense,Teardrop,Massive Attack,best_score,102.0
clip_147,Killing in the Name (Live at 2000 Democratic National Convention),Rage Against the Machine,Democratic National Convention 2000 (Live) - EP,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/52/f5/e6/52f5e648-d504-d6d8-a3f4-a2f40db68326/mzaf_8855636367189570390.plus.aac.p.m4a,1773340317,high,negative,tense,Killing in the Name,Rage Against The Machine,best_score,77.0
clip_146,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/bc/fd/73/bcfd7312-9f1e-a1b0-524b-cbda6e0c1050/mzaf_248640128027576869.plus.aac.p.m4a,1377826892,high,positive,excited,Sweet Child O' Mine,Guns N' Roses,best_score,102.0
clip_145,September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/49/2d/44/492d441e-f0ce-5c3a-dcc6-3a892d2600f2/mzaf_2765278844043228646.plus.aac.p.m4a,1456623340,high,positive,happy,September,Earth Wind & Fire,best_score,102.0
clip_144,Ain't No Sunshine,Bill Withers,Just As I Am,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c1/97/a5/c197a504-bc13-0709-3f6f-904026c782dd/mzaf_11719507637175591282.plus.aac.p.m4a,293521573,low,negative,sad,Ain't No Sunshine,Bill Withers,best_score,102.0
clip_143,Superstition,Stevie Wonder,Talking Book,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/ff/a3/1a/ffa31a9f-8d91-68a8-e85c-cf8e74284079/mzaf_15951061299338017971.plus.aac.p.m4a,1440808985,high,positive,happy,Superstition,Stevie Wonder,best_score,102.0
